区,標準地域コード,年齢,総数,男,女,日本人（男）,日本人（女）,外国人（男）,外国人（女）,日付
札幌市,1100,総数,1960829,915975,1044854,908739,1038080,7236,6774,4/1/2021
札幌市,1100, 0～ 4,65230,33506,31724,33291,31516,215,208,4/1/2021
札幌市,1100,0,11742,6035,5707,5989,5667,46,40,4/1/2021
札幌市,1100,1,12736,6547,6189,6507,6136,40,53,4/1/2021
札幌市,1100,2,13009,6626,6383,6584,6343,42,40,4/1/2021
札幌市,1100,3,13828,7106,6722,7062,6682,44,40,4/1/2021
札幌市,1100,4,13915,7192,6723,7149,6688,43,35,4/1/2021
札幌市,1100, 5～ 9,74106,37869,36237,37709,36106,160,131,4/1/2021
札幌市,1100,5,14677,7480,7197,7452,7172,28,25,4/1/2021
札幌市,1100,6,14807,7575,7232,7536,7202,39,30,4/1/2021
札幌市,1100,7,14799,7629,7170,7601,7147,28,23,4/1/2021
札幌市,1100,8,14842,7625,7217,7594,7195,31,22,4/1/2021
札幌市,1100,9,14981,7560,7421,7526,7390,34,31,4/1/2021
札幌市,1100,10～14,77556,39603,37953,39484,37848,119,105,4/1/2021
札幌市,1100,10,15506,7943,7563,7923,7541,20,22,4/1/2021
札幌市,1100,11,15364,7836,7528,7804,7505,32,23,4/1/2021
札幌市,1100,12,15611,7941,7670,7921,7647,20,23,4/1/2021
札幌市,1100,13,15620,7934,7686,7900,7666,34,20,4/1/2021
札幌市,1100,14,15455,7949,7506,7936,7489,13,17,4/1/2021
札幌市,1100,15～19,80871,40847,40024,40714,39887,133,137,4/1/2021
札幌市,1100,15,15174,7731,7443,7710,7430,21,13,4/1/2021
札幌市,1100,16,15394,7752,7642,7736,7620,16,22,4/1/2021
札幌市,1100,17,16030,8146,7884,8131,7871,15,13,4/1/2021
札幌市,1100,18,16664,8345,8319,8323,8301,22,18,4/1/2021
札幌市,1100,19,17609,8873,8736,8814,8665,59,71,4/1/2021
札幌市,1100,20～24,96402,47456,48946,46309,47882,1147,1064,4/1/2021
札幌市,1100,20,17840,8838,9002,8685,8852,153,150,4/1/2021
札幌市,1100,21,18648,9185,9463,9014,9312,171,151,4/1/2021
札幌市,1100,22,19669,9696,9973,9487,9786,209,187,4/1/2021
札幌市,1100,23,20054,9880,10174,9577,9921,303,253,4/1/2021
札幌市,1100,24,20191,9857,10334,9546,10011,311,323,4/1/2021
札幌市,1100,25～29,101554,48343,53211,46874,51920,1469,1291,4/1/2021
札幌市,1100,25,19839,9428,10411,9110,10125,318,286,4/1/2021
札幌市,1100,26,20721,9916,10805,9602,10520,314,285,4/1/2021
札幌市,1100,27,20071,9549,10522,9256,10281,293,241,4/1/2021
札幌市,1100,28,20233,9555,10678,9279,10426,276,252,4/1/2021
札幌市,1100,29,20690,9895,10795,9627,10568,268,227,4/1/2021
札幌市,1100,30～34,109145,52997,56148,51893,55214,1104,934,4/1/2021
札幌市,1100,30,20729,9897,10832,9661,10586,236,246,4/1/2021
札幌市,1100,31,20711,9962,10749,9717,10548,245,201,4/1/2021
札幌市,1100,32,21988,10696,11292,10465,11109,231,183,4/1/2021
札幌市,1100,33,22643,11082,11561,10872,11389,210,172,4/1/2021
札幌市,1100,34,23074,11360,11714,11178,11582,182,132,4/1/2021
札幌市,1100,35～39,123170,59762,63408,59062,62776,700,632,4/1/2021
札幌市,1100,35,23629,11479,12150,11315,12000,164,150,4/1/2021
札幌市,1100,36,24442,11997,12445,11855,12319,142,126,4/1/2021
札幌市,1100,37,25008,12130,12878,12009,12760,121,118,4/1/2021
札幌市,1100,38,25416,12218,13198,12088,13062,130,136,4/1/2021
札幌市,1100,39,24675,11938,12737,11795,12635,143,102,4/1/2021
札幌市,1100,40～44,137504,66682,70822,66126,70254,556,568,4/1/2021
札幌市,1100,40,25641,12437,13204,12321,13084,116,120,4/1/2021
札幌市,1100,41,27039,13046,13993,12915,13869,131,124,4/1/2021
札幌市,1100,42,27768,13507,14261,13386,14147,121,114,4/1/2021
札幌市,1100,43,28233,13701,14532,13607,14427,94,105,4/1/2021
札幌市,1100,44,28823,13991,14832,13897,14727,94,105,4/1/2021
札幌市,1100,45～49,158065,76271,81794,75881,81364,390,430,4/1/2021
札幌市,1100,45,30059,14487,15572,14393,15465,94,107,4/1/2021
札幌市,1100,46,31935,15550,16385,15481,16306,69,79,4/1/2021
札幌市,1100,47,32219,15447,16772,15378,16683,69,89,4/1/2021
札幌市,1100,48,32525,15575,16950,15484,16864,91,86,4/1/2021
札幌市,1100,49,31327,15212,16115,15145,16046,67,69,4/1/2021
札幌市,1100,50～54,142061,67658,74403,67373,74081,285,322,4/1/2021
札幌市,1100,50,30381,14608,15773,14543,15721,65,52,4/1/2021
札幌市,1100,51,29018,13857,15161,13796,15103,61,58,4/1/2021
札幌市,1100,52,29192,13867,15325,13816,15241,51,84,4/1/2021
札幌市,1100,53,28762,13702,15060,13646,14986,56,74,4/1/2021
札幌市,1100,54,24708,11624,13084,11572,13030,52,54,4/1/2021
札幌市,1100,55～59,129461,60605,68856,60310,68556,295,300,4/1/2021
札幌市,1100,55,26128,12151,13977,12090,13925,61,52,4/1/2021
札幌市,1100,56,26356,12312,14044,12257,13986,55,58,4/1/2021
札幌市,1100,57,26148,12302,13846,12236,13777,66,69,4/1/2021
札幌市,1100,58,25869,12103,13766,12050,13701,53,65,4/1/2021
札幌市,1100,59,24960,11737,13223,11677,13167,60,56,4/1/2021
札幌市,1100,60～64,121581,57568,64013,57340,63801,228,212,4/1/2021
札幌市,1100,60,24601,11693,12908,11650,12864,43,44,4/1/2021
札幌市,1100,61,24862,11908,12954,11853,12910,55,44,4/1/2021
