KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000866001,T000866002,T000866003,T000866004,T000866005,T000866006,T000866007,T000866008,T000866009,T000866010,T000866011,T000866012,T000866013
,,,,,,,総数,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業
1101,1,札幌市中央区,,0,,,102279,4202,23005,22450,14757,12394,1737,153,3582,1337,1715,3940,13007
11010200,2,札幌市中央区,宮ケ丘（番地）,2,1000,,X,X,X,X,X,X,X,X,X,X,X,X,X
11010300,2,札幌市中央区,円山,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
11010400,2,札幌市中央区,円山西町,0,,,6,-,1,-,-,1,1,-,2,-,-,1,-
11011000,2,札幌市中央区,宮の森,1,,200,38,2,15,3,3,1,-,-,2,-,1,4,7
11011100,2,札幌市中央区,盤渓,0,,,43,2,3,5,2,13,-,2,7,1,4,-,4
11011201,2,札幌市中央区,宮の森一条,0,,,1900,126,533,443,235,195,28,1,65,19,16,62,177
1101120101,3,札幌市中央区,宮の森一条１丁目,0,,,44,2,8,29,3,1,-,-,1,-,-,-,-
1101120102,3,札幌市中央区,宮の森一条２丁目,0,,,42,1,6,27,2,1,-,-,-,-,-,1,4
1101120103,3,札幌市中央区,宮の森一条３丁目,0,,,81,3,22,24,13,3,-,-,-,1,-,8,7
1101120104,3,札幌市中央区,宮の森一条４丁目,0,,,76,2,18,13,7,10,1,-,5,2,2,6,10
1101120105,3,札幌市中央区,宮の森一条５丁目,0,,,82,3,25,19,14,9,1,-,2,1,-,1,7
1101120106,3,札幌市中央区,宮の森一条６丁目,0,,,269,15,81,65,36,21,4,-,8,2,2,5,30
1101120107,3,札幌市中央区,宮の森一条７丁目,0,,,115,3,36,36,21,3,-,-,5,-,1,1,9
1101120108,3,札幌市中央区,宮の森一条８丁目,0,,,122,4,35,38,15,10,-,1,3,1,1,6,8
1101120109,3,札幌市中央区,宮の森一条９丁目,0,,,128,8,27,26,8,8,17,-,4,3,2,2,23
1101120110,3,札幌市中央区,宮の森一条１０丁目,0,,,308,24,93,69,36,38,2,-,7,2,-,8,29
1101120111,3,札幌市中央区,宮の森一条１１丁目,0,,,97,10,31,16,7,15,-,-,2,3,1,6,6
1101120112,3,札幌市中央区,宮の森一条１２丁目,0,,,46,4,22,6,4,2,1,-,4,-,-,3,-
1101120113,3,札幌市中央区,宮の森一条１３丁目,0,,,63,12,17,8,12,3,-,-,1,1,1,1,7
1101120114,3,札幌市中央区,宮の森一条１４丁目,0,,,41,10,11,10,2,6,-,-,1,-,-,-,1
1101120115,3,札幌市中央区,宮の森一条１５丁目,0,,,130,6,38,18,12,25,1,-,6,3,1,5,15
1101120116,3,札幌市中央区,宮の森一条１６丁目,0,,,193,13,42,34,35,27,1,-,13,-,3,6,19
1101120117,3,札幌市中央区,宮の森一条１７丁目,0,,,25,-,9,1,3,7,-,-,2,-,1,1,1
1101120118,3,札幌市中央区,宮の森一条１８丁目,0,,,38,6,12,4,5,6,-,-,1,-,1,2,1
11011202,2,札幌市中央区,宮の森二条,0,,,2429,174,678,552,344,216,17,4,97,30,47,80,190
1101120201,3,札幌市中央区,宮の森二条１丁目,0,,,49,-,8,16,6,5,-,-,2,-,-,3,9
1101120202,3,札幌市中央区,宮の森二条２丁目,0,,,88,2,20,16,14,16,1,-,4,-,3,7,5
1101120203,3,札幌市中央区,宮の森二条３丁目,0,,,192,8,49,51,29,19,3,-,8,4,2,3,16
1101120204,3,札幌市中央区,宮の森二条４丁目,0,,,198,4,39,55,23,22,3,-,11,4,7,13,17
1101120205,3,札幌市中央区,宮の森二条５丁目,0,,,201,13,44,46,35,18,-,1,1,1,2,8,32
1101120206,3,札幌市中央区,宮の森二条６丁目,0,,,135,3,35,31,25,11,-,-,10,6,1,5,8
1101120207,3,札幌市中央区,宮の森二条７丁目,0,,,199,6,68,44,28,18,-,-,8,-,6,2,19
1101120208,3,札幌市中央区,宮の森二条８丁目,0,,,184,5,57,43,25,17,1,-,7,1,5,7,16
1101120209,3,札幌市中央区,宮の森二条９丁目,0,,,120,8,42,27,18,14,1,-,4,-,2,3,1
1101120210,3,札幌市中央区,宮の森二条１０丁目,0,,,160,10,32,30,34,17,2,2,5,2,3,6,17
1101120211,3,札幌市中央区,宮の森二条１１丁目,0,,,111,20,31,22,15,7,1,-,2,3,2,2,6
1101120212,3,札幌市中央区,宮の森二条１２丁目,0,,,70,9,33,15,8,-,-,-,3,-,-,-,2
1101120213,3,札幌市中央区,宮の森二条１３丁目,0,,,137,27,55,25,8,5,1,-,2,1,1,4,8
1101120214,3,札幌市中央区,宮の森二条１４丁目,0,,,19,2,5,4,1,2,-,-,4,1,-,-,-
1101120215,3,札幌市中央区,宮の森二条１５丁目,0,,,135,7,38,33,19,6,2,1,6,3,2,6,12
1101120216,3,札幌市中央区,宮の森二条１６丁目,0,,,242,33,64,44,40,22,1,-,11,2,8,8,9
1101120217,3,札幌市中央区,宮の森二条１７丁目,0,,,189,17,58,50,16,17,1,-,9,2,3,3,13
11011203,2,札幌市中央区,宮の森三条,0,,,2330,144,656,530,347,224,24,4,85,19,36,90,171
1101120301,3,札幌市中央区,宮の森三条１丁目,0,,,95,-,32,18,17,10,1,-,5,-,5,5,2
1101120302,3,札幌市中央区,宮の森三条２丁目,0,,,124,3,46,26,16,11,1,-,5,2,-,4,10
1101120303,3,札幌市中央区,宮の森三条３丁目,0,,,199,9,58,47,30,14,2,-,8,2,4,8,17
1101120304,3,札幌市中央区,宮の森三条４丁目,0,,,333,12,92,90,51,31,3,-,12,2,3,9,28
1101120305,3,札幌市中央区,宮の森三条５丁目,0,,,320,11,58,72,39,44,7,1,16,3,5,25,39
