性別,年,月次,人口増加数,自然増加数,出生,死亡,市外との移動の増加数の総数,増加数の総数,道内の増加数,市外転入の総数,転入の総数,道内の転入,市外転出の総数,転出の総数,道内の転出,道外の転出,区間移動・その他の増加数,区間移動の増加数,区間移動の転入,区間移動の転出,職権等増減の増加数,職権等増,職権等減
総数,2018,1～12,3109,-5965,13403,19368,9074,9316,11511,-2195,67571,38648,28923,58255,27137,31118,-242,-,57032,57032,-242,720,962
総数,2018,1,-639,-779,1187,1966,140,151,279,-128,3063,1605,1458,2912,1326,1586,-11,-,3440,3440,-11,54,65
総数,2018,2,-417,-535,1111,1646,118,151,600,-449,3393,2041,1352,3242,1441,1801,-33,-,4010,4010,-33,47,80
総数,2018,3,-1345,-609,1079,1688,-736,-698,2548,-3246,13606,8442,5164,14304,5894,8410,-38,-,6923,6923,-38,89,127
総数,2018,4,4118,-440,1008,1448,4558,4565,3609,956,14445,8965,5480,9880,5356,4524,-7,-,5374,5374,-7,79,86
総数,2018,5,546,-454,1242,1696,1000,1009,823,186,4515,2467,2048,3506,1644,1862,-9,-,5031,5031,-9,64,73
総数,2018,6,-105,-369,1053,1422,264,272,358,-86,3672,1920,1752,3400,1562,1838,-8,-,4315,4315,-8,49,57
総数,2018,7,289,-340,1171,1511,629,675,383,292,4759,2470,2289,4084,2087,1997,-46,-,4632,4632,-46,56,102
総数,2018,8,101,-362,1205,1567,463,454,748,-294,4262,2230,2032,3808,1482,2326,9,-,4559,4559,9,57,48
総数,2018,9,-234,-432,1027,1459,198,243,185,58,4022,1817,2205,3779,1632,2147,-45,-,3889,3889,-45,52,97
総数,2018,10,583,-442,1259,1701,1025,1073,732,341,5020,2702,2318,3947,1970,1977,-48,-,5427,5427,-48,68,116
総数,2018,11,194,-615,1069,1684,809,804,671,133,3618,2156,1462,2814,1485,1329,5,-,5365,5365,5,63,58
総数,2018,12,18,-588,992,1580,606,617,575,42,3196,1833,1363,2579,1258,1321,-11,-,4067,4067,-11,42,53
男,2018,1～12,722,-3097,6822,9919,3819,3952,4411,-459,35830,19545,16285,31878,15134,16744,-133,-,27257,27257,-133,425,558
男,2018,1,-299,-356,633,989,57,60,85,-25,1623,806,817,1563,721,842,-3,-,1714,1714,-3,32,35
男,2018,2,-290,-328,551,879,38,56,230,-174,1747,974,773,1691,744,947,-18,-,1909,1909,-18,28,46
男,2018,3,-1359,-338,522,860,-1021,-1022,791,-1813,6883,4064,2819,7905,3273,4632,1,-,3292,3292,1,62,61
男,2018,4,2411,-231,516,747,2642,2658,1871,787,8488,5173,3315,5830,3302,2528,-16,-,2666,2666,-16,45,61
男,2018,5,386,-218,649,867,604,613,395,218,2479,1256,1223,1866,861,1005,-9,-,2409,2409,-9,35,44
男,2018,6,-103,-180,562,742,77,87,104,-17,1930,947,983,1843,843,1000,-10,-,2021,2021,-10,29,39
男,2018,7,45,-169,592,761,214,251,24,227,2479,1236,1243,2228,1212,1016,-37,-,2181,2181,-37,33,70
男,2018,8,76,-190,613,803,266,257,281,-24,2200,1065,1135,1943,784,1159,9,-,2211,2211,9,36,27
男,2018,9,-345,-224,508,732,-121,-105,-63,-42,1925,820,1105,2030,883,1147,-16,-,1853,1853,-16,27,43
男,2018,10,299,-182,654,836,481,516,273,243,2655,1357,1298,2139,1084,1055,-35,-,2535,2535,-35,39,74
男,2018,11,-16,-346,537,883,330,326,203,123,1811,984,827,1485,781,704,4,-,2515,2515,4,34,30
男,2018,12,-83,-335,485,820,252,255,217,38,1610,863,747,1355,646,709,-3,-,1951,1951,-3,25,28
女,2018,1～12,2387,-2868,6581,9449,5255,5364,7100,-1736,31741,19103,12638,26377,12003,14374,-109,-,29775,29775,-109,295,404
女,2018,1,-340,-423,554,977,83,91,194,-103,1440,799,641,1349,605,744,-8,-,1726,1726,-8,22,30
女,2018,2,-127,-207,560,767,80,95,370,-275,1646,1067,579,1551,697,854,-15,-,2101,2101,-15,19,34
女,2018,3,14,-271,557,828,285,324,1757,-1433,6723,4378,2345,6399,2621,3778,-39,-,3631,3631,-39,27,66
女,2018,4,1707,-209,492,701,1916,1907,1738,169,5957,3792,2165,4050,2054,1996,9,-,2708,2708,9,34,25
女,2018,5,160,-236,593,829,396,396,428,-32,2036,1211,825,1640,783,857, ,-,2622,2622, ,29,29
女,2018,6,-2,-189,491,680,187,185,254,-69,1742,973,769,1557,719,838,2,-,2294,2294,2,20,18
女,2018,7,244,-171,579,750,415,424,359,65,2280,1234,1046,1856,875,981,-9,-,2451,2451,-9,23,32
女,2018,8,25,-172,592,764,197,197,467,-270,2062,1165,897,1865,698,1167, ,-,2348,2348, ,21,21
女,2018,9,111,-208,519,727,319,348,248,100,2097,997,1100,1749,749,1000,-29,-,2036,2036,-29,25,54
女,2018,10,284,-260,605,865,544,557,459,98,2365,1345,1020,1808,886,922,-13,-,2892,2892,-13,29,42
女,2018,11,210,-269,532,801,479,478,468,10,1807,1172,635,1329,704,625,1,-,2850,2850,1,29,28
女,2018,12,101,-253,507,760,354,362,358,4,1586,970,616,1224,612,612,-8,-,2116,2116,-8,17,25
