令和3年4月1日現在,条丁目、世帯数及び男女別人口,,,,
区別,町条丁目,世帯数,総数,男,女
中央区,大通東２丁目,147,276,127,149
中央区,大通東３丁目,273,414,214,200
中央区,大通東４丁目,181,290,128,162
中央区,大通東５丁目,225,264,117,147
中央区,大通東６丁目,135,266,111,155
中央区,大通東７丁目,221,315,153,162
中央区,大通東８丁目,319,473,211,262
中央区,大通東９丁目,181,289,143,146
中央区,大通東１０丁目,197,401,177,224
中央区,大通東１１丁目,106,181,82,99
中央区,大通東１２丁目,19,38,19,19
中央区,大通東,2004,3207,1482,1725
中央区,大通西６丁目,52,70,41,29
中央区,大通西７丁目,49,77,25,52
中央区,大通西８丁目,76,100,48,52
中央区,大通西９丁目,100,168,74,94
中央区,大通西１０丁目,125,201,87,114
中央区,大通西１１丁目,2,6,4,2
中央区,大通西１２丁目,34,34,8,26
中央区,大通西１３丁目,88,126,67,59
中央区,大通西１４丁目,190,214,90,124
中央区,大通西１５丁目,484,690,261,429
中央区,大通西１６丁目,297,401,160,241
中央区,大通西１７丁目,347,408,167,241
中央区,大通西１８丁目,352,437,199,238
中央区,大通西１９丁目,199,269,102,167
中央区,大通西２０丁目,185,293,122,171
中央区,大通西２１丁目,150,250,106,144
中央区,大通西２２丁目,272,376,154,222
中央区,大通西２３丁目,365,554,211,343
中央区,大通西２４丁目,425,794,323,471
中央区,大通西２５丁目,50,95,44,51
中央区,大通西２６丁目,189,255,107,148
中央区,大通西２７丁目,113,205,84,121
中央区,大通西２８丁目,120,212,100,112
中央区,大通西,4264,6235,2584,3651
中央区,南１条東２丁目,231,271,117,154
中央区,南１条東３丁目,326,502,213,289
中央区,南１条東４丁目,62,85,44,41
中央区,南１条東５丁目,201,336,150,186
中央区,南１条東６丁目,202,302,122,180
中央区,南１条東７丁目,277,494,225,269
中央区,南１条東８丁目,3,4,3,1
中央区,南２条東１丁目,57,74,36,38
中央区,南２条東２丁目,217,283,141,142
中央区,南２条東３丁目,207,297,129,168
中央区,南２条東４丁目,300,549,246,303
中央区,南２条東５丁目,212,344,150,194
中央区,南２条東６丁目,441,776,312,464
中央区,南３条東１丁目,147,180,76,104
中央区,南３条東２丁目,383,525,241,284
中央区,南３条東３丁目,580,832,394,438
中央区,南３条東４丁目,237,325,149,176
中央区,南３条東６丁目,35,47,21,26
中央区,南４条東１丁目,17,26,11,15
中央区,南４条東２丁目,276,324,158,166
中央区,南４条東３丁目,374,429,181,248
中央区,南４条東４丁目,361,465,224,241
中央区,南４条東５丁目,271,309,147,162
中央区,南５条東１丁目,72,105,45,60
中央区,南５条東２丁目,336,381,191,190
中央区,南５条東３丁目,310,349,189,160
中央区,南５条東５丁目,8,9,5,4
中央区,南６条東１丁目,121,155,68,87
中央区,南６条東２丁目,272,316,175,141
中央区,南６条東３丁目,52,67,32,35
中央区,南７条東１丁目,78,132,53,79
中央区,南７条東２丁目,93,139,56,83
中央区,南　東,6759,9432,4304,5128
中央区,南１条西１丁目,10,13,6,7
中央区,南１条西４丁目,51,63,39,24
中央区,南１条西５丁目,4,4,3,1
中央区,南１条西６丁目,5,8,2,6
中央区,南１条西７丁目,84,131,64,67
中央区,南１条西８丁目,60,100,41,59
中央区,南１条西９丁目,98,111,63,48
中央区,南１条西１０丁目,30,39,21,18
中央区,南１条西１１丁目,41,43,20,23
中央区,南１条西１２丁目,62,75,33,42
中央区,南１条西１３丁目,69,138,64,74
中央区,南１条西１４丁目,156,173,72,101
中央区,南１条西１５丁目,103,134,51,83
中央区,南１条西１６丁目,60,72,22,50
中央区,南１条西１７丁目,224,328,170,158
中央区,南１条西１８丁目,144,211,84,127
中央区,南１条西１９丁目,254,400,157,243
中央区,南１条西２０丁目,143,256,109,147
中央区,南１条西２１丁目,222,402,177,225
中央区,南１条西２２丁目,91,129,68,61
中央区,南１条西２３丁目,216,367,157,210
中央区,南１条西２４丁目,137,209,90,119
中央区,南１条西２５丁目,168,293,126,167
中央区,南１条西２６丁目,63,125,60,65
中央区,南１条西２７丁目,163,302,122,180
中央区,南１条西２８丁目,103,225,105,120
中央区,南２条西１丁目,59,78,31,47
中央区,南２条西２丁目,3,5,2,3
中央区,南２条西４丁目,3,3,3,0
中央区,南２条西５丁目,48,55,28,27
中央区,南２条西６丁目,48,55,31,24
中央区,南２条西７丁目,35,40,18,22
中央区,南２条西８丁目,213,325,137,188
中央区,南２条西９丁目,271,346,167,179
中央区,南２条西１０丁目,196,235,91,144
中央区,南２条西１１丁目,40,44,23,21
中央区,南２条西１２丁目,305,447,181,266
中央区,南２条西１３丁目,234,311,136,175
中央区,南２条西１８丁目,182,199,89,110
中央区,南２条西１９丁目,251,324,124,200
中央区,南２条西２０丁目,81,99,41,58
中央区,南２条西２１丁目,167,311,132,179
中央区,南２条西２２丁目,191,328,143,185
中央区,南２条西２３丁目,125,219,91,128
中央区,南２条西２４丁目,97,178,90,88
中央区,南２条西２５丁目,198,336,151,185
中央区,南２条西２６丁目,206,352,144,208
中央区,南２条西２７丁目,115,161,61,100
中央区,南２条西２８丁目,73,113,51,62
中央区,南３条西１丁目,127,149,76,73
中央区,南３条西２丁目,53,60,26,34
中央区,南３条西３丁目,2,3,2,1
中央区,南３条西４丁目,3,4,2,2
中央区,南３条西５丁目,44,55,28,27
中央区,南３条西６丁目,118,151,64,87
中央区,南３条西７丁目,138,166,71,95
中央区,南３条西８丁目,440,549,246,303
中央区,南３条西９丁目,388,594,271,323
中央区,南３条西１０丁目,5,10,4,6
中央区,南３条西１１丁目,1,1,0,1
中央区,南３条西１２丁目,228,288,114,174
中央区,南３条西１３丁目,87,93,46,47
中央区,南３条西１４丁目,26,26,2,24
中央区,南３条西１７丁目,2,3,2,1
中央区,南３条西１８丁目,6,7,3,4
中央区,南３条西２０丁目,154,273,138,135
中央区,南３条西２１丁目,53,104,44,60
中央区,南３条西２２丁目,101,163,70,93
中央区,南３条西２３丁目,113,173,72,101
中央区,南３条西２４丁目,97,134,65,69
中央区,南３条西２５丁目,124,226,102,124
中央区,南３条西２６丁目,102,227,110,117
中央区,南３条西２７丁目,173,305,124,181
中央区,南３条西２８丁目,16,28,15,13
中央区,南４条西１丁目,10,13,8,5
中央区,南４条西２丁目,3,6,3,3
中央区,南４条西４丁目,1,1,0,1
中央区,南４条西５丁目,3,4,3,1
中央区,南４条西６丁目,53,63,25,38
中央区,南４条西７丁目,11,17,8,9
中央区,南４条西８丁目,305,433,209,224
中央区,南４条西９丁目,107,137,71,66
中央区,南４条西１０丁目,353,384,199,185
中央区,南４条西１１丁目,181,225,101,124
中央区,南４条西１２丁目,319,364,189,175
中央区,南４条西１３丁目,571,799,358,441
中央区,南４条西１４丁目,231,317,138,179
中央区,南４条西１５丁目,289,412,193,219
中央区,南４条西１６丁目,256,357,166,191
中央区,南４条西１７丁目,1,1,0,1
中央区,南４条西１８丁目,246,420,180,240
中央区,南４条西２０丁目,135,249,119,130
中央区,南４条西２１丁目,218,324,157,167
中央区,南４条西２２丁目,103,193,90,103
中央区,南４条西２３丁目,129,226,110,116
中央区,南４条西２４丁目,113,169,66,103
中央区,南４条西２５丁目,153,258,118,140
中央区,南４条西２６丁目,184,322,137,185
中央区,南４条西２７丁目,50,76,33,43
中央区,南５条西１丁目,173,189,94,95
中央区,南５条西２丁目,2,3,2,1
中央区,南５条西３丁目,1,1,0,1
中央区,南５条西４丁目,2,5,1,4
中央区,南５条西５丁目,1,1,1,0
中央区,南５条西６丁目,6,7,3,4
中央区,南５条西７丁目,201,236,102,134
中央区,南５条西８丁目,326,393,201,192
中央区,南５条西９丁目,574,647,341,306
中央区,南５条西１０丁目,366,415,215,200
中央区,南５条西１１丁目,162,170,93,77
中央区,南５条西１２丁目,425,471,239,232
中央区,南５条西１３丁目,304,442,214,228
中央区,南５条西１４丁目,379,564,257,307
中央区,南５条西１５丁目,186,246,99,147
中央区,南５条西１６丁目,193,250,147,103
中央区,南５条西１７丁目,100,142,64,78
中央区,南５条西１８丁目,226,354,155,199
中央区,南５条西２０丁目,122,234,110,124
中央区,南５条西２１丁目,157,235,99,136
中央区,南５条西２２丁目,148,268,122,146
中央区,南５条西２３丁目,118,211,88,123
中央区,南５条西２４丁目,149,238,111,127
中央区,南５条西２５丁目,120,204,89,115
中央区,南５条西２６丁目,150,271,120,151
中央区,南５条西２７丁目,179,282,123,159
中央区,南６条西１丁目,86,91,60,31
中央区,南６条西２丁目,173,190,100,90
中央区,南６条西３丁目,37,47,22,25
中央区,南６条西４丁目,21,25,11,14
