KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000851001,T000851002,T000851003,T000851004,T000851005,T000851006,T000851007,T000851008,T000851009
,,,,,,,一般世帯総数,　親族世帯,　核家族世帯,　　うち夫婦のみの世帯,　　うち夫婦と子供から成る世帯,　核家族以外の世帯,　６歳未満世帯員のいる一般世帯総数,　１８歳未満世帯員のいる一般世帯総数,　６５歳以上世帯員のいる一般世帯総数
1101,1,札幌市中央区,,0,,,131819,55904,52695,22332,21118,3209,7894,18813,33734
11010200,2,札幌市中央区,宮ケ丘（番地）,2,1000,,X,X,X,X,X,X,X,X,X
11010300,2,札幌市中央区,円山,0,,,-,-,-,-,-,-,-,-,-
11010400,2,札幌市中央区,円山西町,0,,,7,6,4,-,4,2,1,2,6
11011000,2,札幌市中央区,宮の森,1,,200,27,18,17,7,9,1,3,5,6
11011100,2,札幌市中央区,盤渓,0,,,42,29,25,13,9,4,3,9,24
11011201,2,札幌市中央区,宮の森一条,0,,,2052,1171,1097,462,470,74,142,403,701
1101120101,3,札幌市中央区,宮の森一条１丁目,0,,,42,32,30,10,18,2,8,19,6
1101120102,3,札幌市中央区,宮の森一条２丁目,0,,,35,28,28,11,14,-,7,13,4
1101120103,3,札幌市中央区,宮の森一条３丁目,0,,,105,55,53,25,19,2,6,20,31
1101120104,3,札幌市中央区,宮の森一条４丁目,0,,,115,26,26,15,5,-,2,5,26
1101120105,3,札幌市中央区,宮の森一条５丁目,0,,,89,25,22,12,8,3,1,3,17
1101120106,3,札幌市中央区,宮の森一条６丁目,0,,,327,157,154,69,64,3,22,59,99
1101120107,3,札幌市中央区,宮の森一条７丁目,0,,,122,79,75,26,41,4,22,39,36
1101120108,3,札幌市中央区,宮の森一条８丁目,0,,,121,73,68,26,31,5,6,21,43
1101120109,3,札幌市中央区,宮の森一条９丁目,0,,,163,59,57,24,24,2,3,19,39
1101120110,3,札幌市中央区,宮の森一条１０丁目,0,,,304,171,160,61,73,11,22,53,108
1101120111,3,札幌市中央区,宮の森一条１１丁目,0,,,95,63,60,31,22,3,5,19,39
1101120112,3,札幌市中央区,宮の森一条１２丁目,0,,,55,42,39,18,16,3,3,16,26
1101120113,3,札幌市中央区,宮の森一条１３丁目,0,,,64,50,45,16,18,5,4,15,33
1101120114,3,札幌市中央区,宮の森一条１４丁目,0,,,43,31,25,6,14,6,4,15,18
1101120115,3,札幌市中央区,宮の森一条１５丁目,0,,,122,87,75,21,32,12,8,30,58
1101120116,3,札幌市中央区,宮の森一条１６丁目,0,,,178,139,130,66,50,9,15,41,83
1101120117,3,札幌市中央区,宮の森一条１７丁目,0,,,32,25,23,10,11,2,3,9,18
1101120118,3,札幌市中央区,宮の森一条１８丁目,0,,,40,29,27,15,10,2,1,7,17
11011202,2,札幌市中央区,宮の森二条,0,,,2652,1621,1529,598,691,92,209,569,904
1101120201,3,札幌市中央区,宮の森二条１丁目,0,,,60,20,19,5,12,1,1,6,9
1101120202,3,札幌市中央区,宮の森二条２丁目,0,,,129,78,75,41,19,3,5,13,71
1101120203,3,札幌市中央区,宮の森二条３丁目,0,,,223,129,127,42,61,2,25,56,48
1101120204,3,札幌市中央区,宮の森二条４丁目,0,,,279,89,86,31,31,3,10,26,69
1101120205,3,札幌市中央区,宮の森二条５丁目,0,,,246,117,114,54,43,3,22,43,56
1101120206,3,札幌市中央区,宮の森二条６丁目,0,,,192,104,98,40,42,6,9,36,77
1101120207,3,札幌市中央区,宮の森二条７丁目,0,,,203,110,104,24,61,6,16,47,44
1101120208,3,札幌市中央区,宮の森二条８丁目,0,,,222,130,122,46,55,8,19,51,77
1101120209,3,札幌市中央区,宮の森二条９丁目,0,,,113,79,73,29,38,6,8,18,50
1101120210,3,札幌市中央区,宮の森二条１０丁目,0,,,141,98,92,28,45,6,16,33,56
1101120211,3,札幌市中央区,宮の森二条１１丁目,0,,,99,83,78,34,41,5,15,33,36
1101120212,3,札幌市中央区,宮の森二条１２丁目,0,,,75,60,58,24,28,2,4,21,36
