KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000865001,T000865002,T000865003,T000865004,T000865005,T000865006,T000865007,T000865008,T000865009,T000865010,T000865011,T000865012,T000865013,T000865014,T000865015,T000865016,T000865017,T000865018,T000865019,T000865020,T000865021,T000865022,T000865023,T000865024,T000865025
,,,,,,,総数,Ａ　農業、林業,　うち農業,Ｂ　漁業,Ｃ　鉱業、採石業、砂利採取業,Ｄ　建設業,Ｅ　製造業,Ｆ　電気・ガス・熱供給・水道業,Ｇ　情報通信業,Ｈ　運輸業、郵便業,Ｉ　卸売業、小売業,Ｊ　金融業、保険業,Ｋ　不動産業、物品賃貸業,Ｌ　学術研究、専門・技術サービス業,Ｍ　宿泊業、飲食サービス業,Ｎ　生活関連サービス業、娯楽業,Ｏ　教育、学習支援業,Ｐ　医療、福祉,Ｑ　複合サービス事業,Ｒ　サービス業（他に分類されないもの）,Ｓ　公務（他に分類されるものを除く）,Ｔ　分類不能の産業,雇用者（役員を含む）,自営業主（家庭内職者を含む）,家族従業者
1101,1,札幌市中央区,,0,,,102279,265,149,4,19,3945,4568,710,5170,2501,14632,3750,3659,5295,7756,3720,5670,14867,579,7576,4351,13242,82093,7103,1258
11010200,2,札幌市中央区,宮ケ丘（番地）,2,1000,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11010300,2,札幌市中央区,円山,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11010400,2,札幌市中央区,円山西町,0,,,6,-,-,-,-,-,2,-,-,-,1,-,1,1,-,-,-,-,-,1,-,-,3,3,-
11011000,2,札幌市中央区,宮の森,1,,200,38,-,-,-,-,-,2,-,-,-,4,-,1,-,-,1,-,1,-,22,-,7,30,1,1
11011100,2,札幌市中央区,盤渓,0,,,43,2,2,-,-,6,5,-,2,1,2,-,-,1,5,4,1,8,-,2,-,4,32,6,1
11011201,2,札幌市中央区,宮の森一条,0,,,1900,5,2,-,1,82,58,12,98,36,240,69,83,138,111,71,155,328,6,120,107,180,1541,174,38
1101120101,3,札幌市中央区,宮の森一条１丁目,0,,,44,-,-,-,-,-,-,-,3,-,6,-,1,2,-,1,4,3,-,1,23,-,42,2,-
1101120102,3,札幌市中央区,宮の森一条２丁目,0,,,42,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,3,7,-,3,20,4,36,2,-
1101120103,3,札幌市中央区,宮の森一条３丁目,0,,,81,-,-,-,-,3,2,1,4,3,13,4,2,5,1,1,6,15,1,9,4,7,65,9,2
1101120104,3,札幌市中央区,宮の森一条４丁目,0,,,76,-,-,-,-,4,4,-,7,1,12,2,3,4,4,5,3,10,-,6,1,10,60,6,-
1101120105,3,札幌市中央区,宮の森一条５丁目,0,,,82,1,-,-,-,5,5,-,5,1,11,3,1,7,7,1,9,12,-,4,3,7,60,11,4
1101120106,3,札幌市中央区,宮の森一条６丁目,0,,,269,-,-,-,1,16,12,3,9,6,33,8,11,25,12,8,19,53,-,14,9,30,226,14,5
1101120107,3,札幌市中央区,宮の森一条７丁目,0,,,115,-,-,-,-,2,6,-,5,1,11,21,5,5,1,-,12,25,3,7,3,8,103,5,-
1101120108,3,札幌市中央区,宮の森一条８丁目,0,,,122,1,1,-,-,5,4,3,4,2,17,4,1,12,3,9,12,18,-,10,7,10,95,13,6
1101120109,3,札幌市中央区,宮の森一条９丁目,0,,,128,-,-,-,-,4,2,1,5,4,11,-,3,6,1,4,8,21,-,13,21,24,97,9,-
1101120110,3,札幌市中央区,宮の森一条１０丁目,0,,,308,2,1,-,-,11,8,2,20,2,38,15,23,22,22,15,29,55,2,13,-,29,243,30,6
1101120111,3,札幌市中央区,宮の森一条１１丁目,0,,,97,-,-,-,-,3,1,-,3,4,15,1,6,6,8,5,12,20,-,3,3,7,83,7,2
1101120112,3,札幌市中央区,宮の森一条１２丁目,0,,,46,-,-,-,-,5,3,2,6,1,2,-,4,7,1,2,1,7,-,3,2,-,34,10,2
1101120113,3,札幌市中央区,宮の森一条１３丁目,0,,,63,-,-,-,-,2,1,-,2,1,11,1,10,4,2,1,1,12,-,6,2,7,56,5,-
1101120114,3,札幌市中央区,宮の森一条１４丁目,0,,,41,-,-,-,-,-,3,-,3,-,2,-,3,4,6,2,3,9,-,5,-,1,33,5,2
1101120115,3,札幌市中央区,宮の森一条１５丁目,0,,,130,-,-,-,-,6,2,-,8,3,14,2,4,9,16,6,9,28,-,8,1,14,101,18,2
1101120116,3,札幌市中央区,宮の森一条１６丁目,0,,,193,1,-,-,-,11,5,-,11,6,35,6,4,14,16,11,12,25,-,10,6,20,157,19,5
1101120117,3,札幌市中央区,宮の森一条１７丁目,0,,,25,-,-,-,-,2,-,-,2,-,2,-,1,3,6,-,3,3,-,2,-,1,16,6,2
1101120118,3,札幌市中央区,宮の森一条１８丁目,0,,,38,-,-,-,-,3,-,-,1,-,4,1,1,3,5,-,9,5,-,3,2,1,34,3,-
11011202,2,札幌市中央区,宮の森二条,0,,,2429,10,4,-,-,126,112,15,124,55,355,83,96,187,143,80,169,424,10,165,80,195,2018,206,39
1101120201,3,札幌市中央区,宮の森二条１丁目,0,,,49,-,-,-,-,-,2,-,-,-,5,-,2,3,2,-,1,8,-,6,11,9,43,1,-
1101120202,3,札幌市中央区,宮の森二条２丁目,0,,,88,-,-,-,-,6,4,-,3,2,12,3,4,7,9,4,5,15,-,7,2,5,76,9,-
1101120203,3,札幌市中央区,宮の森二条３丁目,0,,,192,1,-,-,-,4,12,3,17,5,22,6,6,10,18,4,11,26,2,13,14,18,160,14,2
1101120204,3,札幌市中央区,宮の森二条４丁目,0,,,198,-,-,-,-,17,6,-,9,5,30,7,6,7,10,8,11,30,-,29,6,17,172,8,1
1101120205,3,札幌市中央区,宮の森二条５丁目,0,,,201,1,1,-,-,2,15,1,11,3,29,11,11,14,11,6,8,31,-,8,7,32,154,14,3
1101120206,3,札幌市中央区,宮の森二条６丁目,0,,,135,-,-,-,-,7,6,-,9,6,27,9,1,11,7,3,2,24,3,8,4,8,110,15,3
1101120207,3,札幌市中央区,宮の森二条７丁目,0,,,199,1,-,-,-,18,10,3,10,6,19,11,2,14,10,11,11,38,-,8,7,20,150,21,6
1101120208,3,札幌市中央区,宮の森二条８丁目,0,,,184,-,-,-,-,13,7,1,15,2,24,6,4,8,8,6,9,42,1,17,4,17,156,12,2
1101120209,3,札幌市中央区,宮の森二条９丁目,0,,,120,-,-,-,-,8,6,1,5,3,17,4,4,15,7,1,18,18,2,5,4,2,105,13,1
1101120210,3,札幌市中央区,宮の森二条１０丁目,0,,,160,3,1,-,-,9,4,-,6,3,28,3,7,16,8,4,14,21,-,15,2,17,136,8,3
1101120211,3,札幌市中央区,宮の森二条１１丁目,0,,,111,-,-,-,-,5,5,1,3,3,11,6,12,5,7,4,5,32,-,5,1,6,93,10,2
1101120212,3,札幌市中央区,宮の森二条１２丁目,0,,,70,-,-,-,-,-,2,-,2,-,12,-,3,11,3,-,5,24,-,2,4,2,58,8,1
1101120213,3,札幌市中央区,宮の森二条１３丁目,0,,,137,1,1,-,-,5,6,-,4,1,19,1,7,22,2,3,13,35,-,8,2,8,107,21,4
1101120214,3,札幌市中央区,宮の森二条１４丁目,0,,,19,-,-,-,-,3,2,-,-,1,-,1,2,1,1,2,3,1,-,1,1,-,16,2,1
1101120215,3,札幌市中央区,宮の森二条１５丁目,0,,,135,3,1,-,-,8,7,-,5,5,23,3,6,9,8,2,14,18,-,8,3,13,113,13,1
1101120216,3,札幌市中央区,宮の森二条１６丁目,0,,,242,-,-,-,-,16,11,3,13,4,41,6,16,15,18,11,22,36,-,15,5,10,212,20,4
1101120217,3,札幌市中央区,宮の森二条１７丁目,0,,,189,-,-,-,-,5,7,2,12,6,36,6,3,19,14,11,17,25,2,10,3,11,157,17,5
11011203,2,札幌市中央区,宮の森三条,0,,,2330,14,6,-,-,81,112,9,113,49,345,102,83,142,119,77,183,460,16,151,95,179,1933,204,42
1101120301,3,札幌市中央区,宮の森三条１丁目,0,,,95,-,-,-,-,4,6,-,3,-,14,3,3,4,5,4,9,20,-,9,8,3,83,11,-
